path,bytes,lines,class,disposition,terms,heading_count
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,32531,843,archive_evidence,Historical evidence only; inspect for missing core concepts,trakt; asset; calendar; show; movie; episode; season; popup; validation; version; config; focus,0
docs/_archive/20260321_191334/spec_working_noise/..NOTES for the FULL authoritative spec+plan.md,6280,240,archive_evidence,Historical evidence only; inspect for missing core concepts,watchlist; trakt; asset; calendar; show; movie; episode; season; popup; version; invariant; config,1
docs/_patch_notes/.gitignore.append.txt,15,1,archive_evidence,Historical evidence only; inspect for missing core concepts,,0
docs/_patch_notes/20260223_202038_qa_data_json_audit.md,1141,31,archive_evidence,Historical evidence only; inspect for missing core concepts,watch_me; show; episode; season; validation; data.json; inputs.json,5
docs/ai/README.md,2027,39,agent_process_reference,Archive as process reference; extract only stable Codex operating guardrails,movie; validation,5
docs/ai/codex_operating_rules.md,2426,89,agent_process_reference,Archive as process reference; extract only stable Codex operating guardrails,movie; popup; validation,8
docs/ai/codex_prompt_blocks/ui_audit_continuation_guardrail.md,1299,38,agent_process_reference,Archive as process reference; extract only stable Codex operating guardrails,validation,5
docs/ai/codex_prompt_blocks/ui_refactor_phase_guardrail.md,1526,41,agent_process_reference,Archive as process reference; extract only stable Codex operating guardrails,show; movie; popup; validation,5
docs/ai/codex_prompt_blocks/windows_large_write_guardrail.md,1099,36,agent_process_reference,Archive as process reference; extract only stable Codex operating guardrails,validation,5
docs/ai/templates/codex_task_launch_template.md,1668,58,agent_process_reference,Archive as process reference; extract only stable Codex operating guardrails,movie; validation,5
docs/ai/templates/codex_ui_continuation_master_prompt.md,1185,37,agent_process_reference,Archive as process reference; extract only stable Codex operating guardrails,movie; validation,2
docs/ai/templates/codex_ui_implementation_master_prompt.md,2164,58,agent_process_reference,Archive as process reference; extract only stable Codex operating guardrails,show; movie; episode; popup; validation,2
docs/architecture/availability_status_baseline_architecture.md,2619,68,availability_extract,Extract if not duplicated by availability active docs,trakt; asset; availability; show; episode; season; popup; validation; data.json; inputs.json,6
docs/calendar_view.md,2268,70,component_extract,Extract into UI/card/popup contracts,availability; calendar; show; movie; episode; focus; data.json,10
docs/config/config.md,3618,88,extract_config,Extract config scope; remove tracking overlap,watch_me; watch me; movie; version; config; focus,7
docs/data/availability_status_data_contract.md,3392,90,extract_availability,Extract availability-state data/UX rules,availability; show; movie; episode; season; validation; version; config; data.json,9
docs/design/availability_status_solution_design.md,3500,70,availability_extract,Extract if not duplicated by availability active docs,availability; show; movie; episode; season; validation; config; data.json; inputs.json,11
docs/episode_card.md,1047,21,component_extract,Extract into UI/card/popup contracts,watch_me; watch me; availability; calendar; show; episode; popup,1
docs/focus_navigation_tv.md,2932,64,extract_focus,Extract D-pad/focus rules,show; movie; season; popup; focus; d-pad,10
docs/impact/availability_status_system_impact_matrix.md,1940,30,availability_extract,Extract if not duplicated by availability active docs,trakt; asset; availability; show; movie; episode; popup; validation; data.json; inputs.json,4
docs/implementation/availability_status_end_to_end_delivery_plan.md,2836,52,availability_extract,Extract if not duplicated by availability active docs,trakt; asset; availability; show; episode; validation; config; data.json,7
docs/movie_card.md,290,8,component_extract,Extract into UI/card/popup contracts,show; movie,1
docs/movie_popup.md,2608,102,component_extract,Extract into UI/card/popup contracts,trakt; show; movie; episode; season; popup; focus; d-pad; favourite; watched,13
docs/show_card.md,328,8,component_extract,Extract into UI/card/popup contracts,show; movie,1
docs/show_popup.md,978,16,component_extract,Extract into UI/card/popup contracts,availability; show; episode; season; popup; focus; d-pad,1
docs/spec/README.md,972,32,future_or_deprecated_review,Archive/deprecate unless feature is re-approved,asset; popup; version; invariant,5
docs/spec/Section 0 - Index.md,2270,70,needs_triage,Needs human/next-pass triage,watchlist; asset; calendar; show; movie; popup; version; invariant; config; focus; watched,24
docs/spec/Section 1 - Global Rules.md,9094,229,extract_core,Extract to contract: core rules/architecture,watchlist; asset; availability; show; movie; episode; season; popup; validation; version; invariant; focus,72
docs/spec/Section 10 - Versioning.md,3425,166,extract_change_control,Extract version/change-control requirements,asset; show; movie; episode; season; validation; version; invariant; sync,17
docs/spec/Section 11 - Errors.md,4255,189,extract_errors,Extract error/reporting requirements,asset; show; version; invariant; sync,20
docs/spec/Section 12 - Future-Phase.md,6298,216,future_or_deprecated_review,Archive/deprecate unless feature is re-approved,watchlist; trakt; asset; show; movie; version; invariant; focus; sync; watched,31
docs/spec/Section 13 - Invariants.md,2806,96,extract_invariants,Extract invariant/fail-fast requirements,trakt; asset; popup; version; invariant; focus,10
docs/spec/Section 2 - Architecture.md,10356,447,extract_core,Extract to contract: core rules/architecture,watchlist; trakt; asset; availability; calendar; show; movie; episode; season; popup; validation; version,46
docs/spec/Section 3 - Data Model.md,8350,367,extract_core,Extract to contract: core rules/architecture,watchlist; trakt; show; movie; episode; season; version; invariant; data.json,29
docs/spec/Section 4 - UI (each view separately).md,5647,156,needs_triage,Needs human/next-pass triage,watchlist; asset; calendar; show; movie; episode; season; popup; version; invariant; config; focus,21
docs/spec/Section 4.1 - Calendar View.md,7207,301,extract_ui,Extract to contract: current UI if still relevant,watchlist; trakt; asset; availability; calendar; show; movie; episode; season; popup; version; invariant,35
docs/spec/Section 4.2 - Shows View.md,8761,387,extract_ui,Extract to contract: current UI if still relevant,watchlist; trakt; asset; show; episode; season; popup; version; invariant; focus; data.json; sync,48
docs/spec/Section 4.3 - Movies View.md,8867,389,extract_ui,Extract to contract: current UI if still relevant,watchlist; trakt; asset; show; movie; popup; version; invariant; focus; data.json; sync; watched,49
docs/spec/Section 4.4 - Live TV View.md,8245,351,needs_triage,Needs human/next-pass triage,watchlist; trakt; asset; show; movie; episode; season; popup; version; invariant; focus; data.json,47
docs/spec/Section 4.5 - Config View.md,8968,401,extract_ui,Extract to contract: current UI if still relevant,watchlist; trakt; availability; show; movie; episode; season; validation; version; invariant; config; focus,58
docs/spec/Section 4.6 - Explore View (future phase).md,7318,237,future_or_deprecated_review,Archive/deprecate unless feature is re-approved,watchlist; trakt; asset; show; movie; episode; season; popup; version; invariant; data.json; sync,43
docs/spec/Section 4.7 - Profiles View (future phase).md,6530,224,future_or_deprecated_review,Archive/deprecate unless feature is re-approved,watchlist; trakt; show; movie; popup; version; invariant; focus; data.json; sync; watched,41
docs/spec/Section 4.8 - Watchlist - Watched Filters (future phase).md,8709,283,extract_tracking,Extract to Manage Watch State / tracking contract,watchlist; trakt; asset; show; movie; episode; season; popup; version; invariant; focus; data.json,53
docs/spec/Section 4.9 - Watchlist (Standalone Page).md,7159,245,extract_watchlist,Extract standalone Watchlist layout; do not treat as current SPA,watchlist; asset; show; movie; episode; season; popup; validation; version; data.json,35
docs/spec/Section 5 - Popups.md,2908,98,needs_triage,Needs human/next-pass triage,show; movie; episode; season; popup; version; focus; data.json; sync,14
docs/spec/Section 5.1 - Show Popup (P1).md,2190,88,needs_triage,Needs human/next-pass triage,show; episode; season; popup; version; invariant; sync,16
docs/spec/Section 5.2 - Season Popup (P2).md,1980,74,needs_triage,Needs human/next-pass triage,show; episode; season; popup; version; invariant; sync,14
docs/spec/Section 5.3 - Episode Popup (P3).md,2455,93,needs_triage,Needs human/next-pass triage,show; episode; season; popup; version; invariant; sync,15
docs/spec/Section 5.4 - Movie Popup (P4).md,2456,97,needs_triage,Needs human/next-pass triage,movie; popup; version; invariant; sync,16
docs/spec/Section 5.5 - Collection Popup (future phase).md,2313,85,future_or_deprecated_review,Archive/deprecate unless feature is re-approved,movie; popup; version; invariant; sync,15
docs/spec/Section 6 - UX.md,5490,208,extract_ux,Needs triage,asset; show; movie; popup; version; invariant; focus,37
docs/spec/Section 7 - Assets.md,4771,231,extract_assets,Extract asset standards and pipeline checks,watchlist; asset; show; movie; episode; popup; validation; version,21
docs/spec/Section 8 - Scripts.md,12197,376,extract_pipeline,Extract script/pipeline/validation requirements,watchlist; trakt; asset; show; movie; episode; season; validation; version; data.json; sync; watched,16
docs/spec/Section 9 - Workflow.md,3954,144,extract_workflow,Extract workflow orchestration requirements,trakt; asset; validation; version; invariant; sync,26
docs/spec/archive/Section 5.6 - Person Popup (future phase).md,975,21,archive_evidence,Historical evidence only; inspect for missing core concepts,asset; popup; version,5
docs/spec/archive/working_notes/FULL outline of the authoritative specV0.01.md,3948,171,archive_evidence,Historical evidence only; inspect for missing core concepts,watchlist; trakt; asset; calendar; show; movie; episode; season; popup; validation; version; invariant,14
docs/spec/archive/working_notes/File Versioning and Inventory Requirements.txt,1897,49,archive_evidence,Historical evidence only; inspect for missing core concepts,movie; popup; version,0
docs/spec/archive/working_notes/Mandatory-PIPELINE SOLUTION.txt,6386,292,archive_evidence,Historical evidence only; inspect for missing core concepts,watchlist; trakt; asset; calendar; show; movie; episode; season; data.json; sync; watched,0
docs/spec/archive/working_notes/NOTES for the FULL authoritative spec+plan.md,14302,313,archive_evidence,Historical evidence only; inspect for missing core concepts,watchlist; trakt; asset; calendar; show; movie; episode; season; popup; validation; version; invariant,1
docs/spec/archive/working_notes/SPEC Overide-Notes.txt,11066,364,archive_evidence,Historical evidence only; inspect for missing core concepts,trakt; show; movie; season; validation; version; data.json; sync,28
docs/spec/archive/working_notes/Section 99 - WIP change enhancement and security notes.txt,12263,244,archive_evidence,Historical evidence only; inspect for missing core concepts,trakt; show; movie; season; validation; version; data.json; sync,41
docs/testing/availability_status_qa_and_validation.md,2664,68,extract_validation,Extract QA/validation checks,asset; availability; movie; validation,8
docs/ui/availability_status_ui_integration.md,1838,51,availability_extract,Extract if not duplicated by availability active docs,watch_me; availability; calendar; show; movie; episode; season; popup; data.json,8
docs/ui_standardization/baseline_contract_v2.md,2965,55,ui_evidence_review,Archive as UI evidence; extract reusable component decisions only,calendar; show; movie; episode; season; popup; config; watched,6
docs/ui_standardization/baseline_contract_v3.md,2124,79,ui_evidence_review,Archive as UI evidence; extract reusable component decisions only,show; movie; episode; season; popup; favourite; watched,9
docs/ui_standardization/mockup_episode_card.html,2384,48,ui_evidence_review,Archive as UI evidence; extract reusable component decisions only,episode; popup; version; watched,0
docs/ui_standardization/mockup_movie_card.html,1970,43,ui_evidence_review,Archive as UI evidence; extract reusable component decisions only,movie; version; watched,0
docs/ui_standardization/mockup_movie_popup.html,3710,65,ui_evidence_review,Archive as UI evidence; extract reusable component decisions only,movie; popup; version; watched,0
docs/ui_standardization/mockup_notes.md,2417,64,ui_evidence_review,Archive as UI evidence; extract reusable component decisions only,watch_me; calendar; show; movie; episode; season; popup; version,11
docs/ui_standardization/mockup_show_card.html,1924,42,ui_evidence_review,Archive as UI evidence; extract reusable component decisions only,show; version; watched,0
docs/ui_standardization/mockup_show_popup.html,8582,125,ui_evidence_review,Archive as UI evidence; extract reusable component decisions only,calendar; show; episode; season; popup; version; watched,0
docs/ui_standardization/preserved_contract_manifest.md,1219,33,ui_evidence_review,Archive as UI evidence; extract reusable component decisions only,show; movie; episode; season; popup,1
docs/ui_standardization/proposed_standard_components.md,7311,239,ui_evidence_review,Archive as UI evidence; extract reusable component decisions only,watchlist; calendar; show; movie; episode; season; popup; version; focus; watched,10
docs/workflows/availability_status_workflow_design.md,2749,53,extract_availability,Extract availability-state data/UX rules,trakt; asset; availability; validation; data.json,8
