page,component_type,component_name_or_label,static_or_dynamic,render_source_file,render_function,trigger_source,major_sections,supported_actions,key_data_fields,styling_hooks,popup_or_card_variant_id,closest_related_variant,notable_differences,recommended_baseline_source,keep_change_merge_retire
web/discover.html,movie_popup,Discover movie popup,dynamic,web/discover.html,openMovieModal|wireMoviePopup,openMovieModal,poster|title|popupwatch|overview|action row|production|backdrop,toggle movie|watch status|provider modal|RT|streaming links,movie detail fields + watch state + production_companies + links,.popupwatch|.switch.movie|.metablock,MOVIE_POPUP_APP_V2,MOVIE_POPUP_APP_V1,Most complete movie popup behavior,primary baseline,keep
web/calendar.html,movie_popup,Calendar movie popup,dynamic,web/calendar.html,openMovieModal|wireMoviePopup,openMovieModal,poster|title|popupwatch|overview|action row|production|backdrop,toggle movie|watch status|provider modal|RT|streaming links,movie detail fields + watch state + production_companies + links,.popupwatch|.switch.movie|.metablock,MOVIE_POPUP_APP_V2,MOVIE_POPUP_APP_V1,Functionally aligned with discover,merge if diff-free,keep
web/index.html,episode_card,Show popup episode carousel card,dynamic,web/index.html,buildShowPopupHtml,season selection,image|badge|title|meta|overview|ep actions,episode streaming links,episode_number|season_number|still|air_date|runtime|overview|links,.epcard|.epimg|.epactions,EPISODE_CARD_POPUP_V1,EPISODE_CARD_POPUP_V2,No watched toggle despite wire support,merge with V2 controls,change
web/discover.html,episode_card,Show popup episode carousel card with toggle,dynamic,web/discover.html,buildShowPopupHtml,season selection,image|badge|toggle|title|meta|overview|ep actions,toggle watched|episode streaming links,episode_number|season_number|still|air_date|runtime|overview|links|watch state,.epcard|.switch.episode|.epactions,EPISODE_CARD_POPUP_V2,EPISODE_CARD_POPUP_V1,Best baseline for standard episode card,primary baseline,keep
web/watch.me.html,show_detail,Single-item show detail page,dynamic,web/watch.me.html,renderShow|renderSeasonDetail,query param tv,hero detail|pill row|season list|season summary|episode scroller,season select|TMDB|episode TMDB|episode links,show detail fields + seasons[] + episodes[],.infoCard|.sectionCard|.epCard,WATCHME_DETAIL_SHOW_V1,SHOW_POPUP_APP_V2,Clear section hierarchy but page not popup,page-specific retain + mine structure,merge
web/watch.me.html,movie_detail,Single-item movie detail page,dynamic,web/watch.me.html,renderMovie,query param m,hero detail|pill row|movie buttons,TMDB|movie links,movie detail fields + links,.infoCard|.sectionCard,WATCHME_DETAIL_MOVIE_V1,MOVIE_POPUP_APP_V2,Simple and readable but lighter than popup baseline,page-specific retain + mine metadata layout,merge
web/watch.me.html,episode_card,Single-item detail episode card,dynamic,web/watch.me.html,renderSeasonDetail,season selection,still|badge|title|meta|overview|mini buttons,TMDB|Videasy|Vidsrc,episode fields + show tmdb_id + links,.epCard|.epBadge|.miniBtn,WATCHME_DETAIL_EPISODE_V1,EPISODE_CARD_POPUP_V2,Best textual episode readability,merge text hierarchy into standard,merge
web/watch_me/watch_me.html,episode_card,Compact weekly episode card,dynamic,web/watch_me/watch_me.html,episodeCard,tvCarouselHtml,media image|overlay text|badge row|links row,provider links|watched toggle,show title|episode title|season/episode|image|network|provider logo|links,.card|.media.ep|.watched-toggle,WATCHME_CAROUSEL_EPISODE_V1,CAL_EPISODE_CARD_V1,Compact keyboard-friendly card,retain page-specific and mine action bar,merge
web/watch_me/watch_me.html,movie_card,Compact weekly movie card,dynamic,web/watch_me/watch_me.html,movieCard,moviesCarouselHtml,media image|overlay text|badge row|links row,provider links|watched toggle,title|release date|genres|provider logo|links,.card|.media.mv|.watched-toggle,WATCHME_CAROUSEL_MOVIE_V1,MOVIE_CARD_APP_V2,Alternative compact card language,page-specific retain,keep
web/tv_shows_listing.html,show_card,Expandable utility show card,dynamic,web/tv_shows_listing.html,buildShowCard,twisty button,thumb|two-line meta|pillbar|child seasons,expand/collapse|provider links,title|year|tmdb|genres|rating|status|first_air_date|show.links,.card|.row|.children|.pillbar,TREE_SHOW_CARD_V1,SHOW_CARD_APP_V1,Utility-focused and explicit about contracts,retain as utility only,keep
web/tv_shows_listing.html,season_card,Expandable season subcard,dynamic,web/tv_shows_listing.html,buildSeasonCard,twisty button,thumb|season meta|child episode rows,expand/collapse,season name|air date|overview|episodes[],.subcard|.subrow|.children,TREE_SEASON_CARD_V1,SHOW_POPUP_APP_V2,Best explicit season fallback handling,merge dependency docs only,merge
web/tv_shows_listing.html,episode_row,Utility episode row,dynamic,web/tv_shows_listing.html,buildEpisodeRow,season expand,thumb|badge|meta|pillbar,provider links,cascaded links + episode fields,.ep-row|.badge|.pillbar,TREE_EPISODE_ROW_V1,CAL_EPISODE_CARD_V1,Only variant with formal link cascade,merge data-contract rule,merge
web/heated-rivalry.html,episode_card,Bespoke campaign episode card,dynamic,web/heated-rivalry.html,renderEpisodeCards,season picker|episode click,hero still stack|num pill|title|meta|snippet|actions,play|download|external link|select active episode,local EPISODES object + drive ids,.episode-card|.episode-card-actions,HEATED_EPISODE_CARD_V1,WATCHME_DETAIL_EPISODE_V1,Bespoke promotional tone and local data source,retain page-specific,keep
web/heated-rivalry.html,modal_player,Campaign player modal,dynamic,web/heated-rivalry.html,modal open/close handlers,play button,backdrop|iframe|close button,play embedded video,drive/embed urls,.modal-backdrop|.modal-player,HEATED_MODAL_PLAYER_V1,MOVIE_POPUP_APP_V2,Different purpose than detail popup,retain page-specific,keep
