path,line,text
docs/ARCHITECTURE_LOG.md,181,"- Replaced silent show overwrite behavior with a season-aware editor flow backed by TMDB show-detail lookup, allowing existing shows to add, replace, or remove selected seasons while preserving the single canonical `data/inputs.json` entry."
docs/ARCHITECTURE_LOG.md,185,## 2026-04-04 — Canonical pipeline and TV-first watch-source hardening
docs/ARCHITECTURE_LOG.md,186,"- Removed residual active-production drift around legacy txt and `inputs_parsed.json` assumptions by enforcing `data/inputs.json` as the canonical build input and `data/data.json` as the canonical generated runtime output across the TMDB builder, availability library, pipeline integrity QA, and GitH"
docs/ARCHITECTURE_LOG.md,187,"- Expanded the generated streaming-source contract from the researched provider artifacts so runtime entities now carry normalized `watch_sources[]` blocks for movie, show, season, and episode contexts, with canonical fallback ordering and stricter schema validation shared by local and GitHub-facing"
docs/ARCHITECTURE_LOG.md,189,"- Refreshed generated runtime artifacts and newly discovered canonical assets, and preserved the passing pipeline integrity artifact under `reports/_qa_pipeline_integrity_2026-04-05_00-10-21.json`."
docs/ARCHITECTURE_LOG.md,194,"- Added a dedicated split-runtime builder plus matching validation so the final active runtime contract now uses one normalized `watch.embed[]` and `watch.providers.{CA,US,GB,AU}[]` model without leaking `watch_sources`, `source_options`, or `watch_providers` into split artifacts."
docs/ARCHITECTURE_LOG.md,196,- Fixed popup drift in the shared runtime by restoring a defined popup D-pad handler and stopping provider-logo 404 churn by honoring only verified local logo assets in split detail output.
docs/ARCHITECTURE_LOG.md,200,"## 2026-04-10 — Responsive card, popup, and asset hardening"
docs/ARCHITECTURE_LOG.md,205,"- Changed TMDB asset fetching to request configured right-sized image buckets instead of `original`, then regenerated split runtime artifacts and newly referenced canonical assets from `data/inputs.json`."
docs/ARCHITECTURE_LOG.md,206,"- Added browser QA coverage for popup/source invariants and responsive dashboard/calendar layout across Android phone, Android tablet, and 1080p TV viewports."
docs/ARCHITECTURE_LOG.md,210,- Added `web/js/watch_party.js` and `web/css/watch_party.css` as a reusable static-site watch-party module for single-title pages that do not alter the canonical catalog runtime.
docs/ARCHITECTURE_LOG.md,212,- Corrected Heated Rivalry episode still references to existing canonical assets so the page no longer emits missing-image requests during browser validation.
docs/ARCHITECTURE_LOG.md,267,"- Moved the canonical Watch Me shell to `web/watch_me.html`, converted `web/watch_me/watch_me.html` into a redirect-only compatibility path, and kept `web/watch.me.html` as the legacy redirect shell."
docs/ARCHITECTURE_LOG.md,269,- Added a month list/tree calendar mode and repointed retired `web/tv_shows_listing.html` traffic to that canonical list view instead of the shows library.
docs/ARCHITECTURE_LOG.md,270,"- Added visible hide/show toggles for browse-style filter rails, tightened shows/movies grid density, and fixed the version badge/footer to read canonical config metadata instead of a hard-coded runtime string."
docs/ARCHITECTURE_LOG.md,273,"## 2026-04-28 — UI contract, drift cleanup, and runtime validation"
docs/ARCHITECTURE_LOG.md,276,"- Made the non-blocking watch-source popup path canonical through `web/js/trailer_watch_popup_fix.js`, with the older app-runtime popup handler reduced to fallback-only."
docs/ARCHITECTURE_LOG.md,277,"- Removed tracked overlay folders, patch apply docs, old apply scripts, overlay validation, and abandoned overlay reports from active repo paths."
docs/ARCHITECTURE_LOG.md,278,"- Added `scripts/validate_runtime.ps1` as the single runtime validation entry point and documented canonical owners, compatibility shims, and the validation command."
docs/ARCHITECTURE_LOG.md,279,- Added deterministic asset pipeline tooling/reporting via `scripts/optimize_runtime_assets.py` and `reports/ui_stabilization/asset_optimization.json`.
docs/ARCHITECTURE_LOG.md,282,"## 2026-04-28 — Documentation consolidation, UI contract QA, and validation hardening"
docs/ARCHITECTURE_LOG.md,283,"- Added `docs/DOCUMENTATION_STANDARD.md` with current source-of-truth rules, historical-only doc paths, changelog/report handling, and the canonical owner matrix."
docs/ARCHITECTURE_LOG.md,287,"- Expanded `scripts/validate_runtime.ps1` to check doc consistency, icon ownership, duplicate handler drift, required reports, forbidden markers, and runtime asset-size reporting."
docs/ARCHITECTURE_LOG.md,292,- Made `tools/run_local_servers.bat` the canonical local launcher for both app pages and the local Inputs Editor API server.
docs/ARCHITECTURE_LOG.md,301,- Promoted root `run_local_servers.bat` to the canonical double-click launcher for both the static app server and the local Inputs Editor API server.
docs/ARCHITECTURE_LOG.md,303,- Fixed `run_schema.bat` so it runs from the repo root and supports `--no-pause` validation.
docs/ARCHITECTURE_LOG.md,306,"- Added validation checks for launcher ownership, schema helper syntax, removed root archive artifacts, and editor-only launcher drift."
docs/DOCS_INFORMATION_ARCHITECTURE.md,15,| `docs/testing/` | Yes | QA and validation docs |
docs/DOCS_INFORMATION_ARCHITECTURE.md,43,| `*_qa_and_validation.md` | QA contract |
docs/DOCS_REVIEW_2026-03-21.md,55,| `docs/spec/Section 7 #U2014 Assets.md` | `docs/spec/Section 7 - Assets.md` |
docs/DOCS_REVIEW_2026-03-21.md,58,| `docs/spec/Section 10 #U2014 Versioning.md` | `docs/spec/Section 10 - Versioning.md` |
docs/DOCS_REVIEW_2026-03-21.md,61,| `docs/spec/Section 13 #U2014 Invariants.md` | `docs/spec/Section 13 - Invariants.md` |
docs/DOCS_REVIEW_2026-03-21.md,70,| `docs/Network + Service Logo Spec.md` | keep pending broader asset review |
docs/DOCS_REVIEW_2026-03-21.md,72,| `docs/Web Icon Image Inventory (usable formats & variants).txt` | keep pending asset merge |
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,24,| `docs/testing/availability_status_qa_and_validation.md` | keep |
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,51,| `docs/spec/Section 4.8 — Watchlist - Watched Filters (future phase).md` | `docs/spec/Section 4.8 - Watchlist - Watched Filters (future phase).md` |
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,52,| `docs/spec/Section 4.9 — Watchlist (Standalone Page).md` | `docs/spec/Section 4.9 - Watchlist (Standalone Page).md` |
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,60,| `docs/spec/Section 7 — Assets.md` | `docs/spec/Section 7 - Assets.md` |
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,63,| `docs/spec/Section 10 — Versioning.md` | `docs/spec/Section 10 - Versioning.md` |
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,66,| `docs/spec/Section 13 — Invariants.md` | `docs/spec/Section 13 - Invariants.md` |
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,79,| `docs/Network + Service Logo Spec.md` | asset/design reference |
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,80,| `docs/Web Icon Image Inventory (usable formats & variants).txt` | asset inventory |
docs/DOCUMENTATION_STANDARD.md,7,## Source Of Truth
docs/DOCUMENTATION_STANDARD.md,12,- Architecture/page-shell changes must also append `docs/ARCHITECTURE_LOG.md`.
docs/DOCUMENTATION_STANDARD.md,13,- Validation is standardized through `scripts/validate_runtime.ps1`.
docs/DOCUMENTATION_STANDARD.md,20,"- Historical docs may contain old names or examples. They must not override `docs/ARCHITECTURE.md`, `docs/UI_COMPONENTS.md`, or this file."
docs/DOCUMENTATION_STANDARD.md,30,"| Design / Function Area | Canonical File | Supporting Docs | Compatibility Shim, if any | Deprecated / Removed Files | Validation Command |"
docs/DOCUMENTATION_STANDARD.md,36,| Trakt sync design | `docs/ARCHITECTURE.md` | `reports/ui_stabilization/ui_stabilization_report.md` | offline queue design only; no live API required for UI tests | title/fuzzy matching for sync | `powershell -ExecutionPolicy Bypass -File scripts/validate_runtime.ps1` |
docs/DOCUMENTATION_STANDARD.md,40,"| asset optimization pipeline | `scripts/optimize_runtime_assets.py` | `docs/ARCHITECTURE.md`, `reports/ui_stabilization/asset_optimization.json` | none | 4K/original-sized runtime assets; originals stay immutable in `assets/original_downloads/` | `powershell -ExecutionPolicy Bypass -File scripts/va"
docs/DOCUMENTATION_STANDARD.md,44,"| local server launch | `run_local_servers.bat` | `docs/README.md`, `docs/ARCHITECTURE.md` | `run_server.bat`, `tools/run_local_servers.bat`, and `tools/start_inputs_editor.cmd` delegate to the canonical launcher | old `app.py`/port `8811` root launch path and editor-only server launcher logic | `po"
docs/DOCUMENTATION_STANDARD.md,45,"| validation process | `scripts/validate_runtime.ps1` | `docs/README.md`, `reports/ui_stabilization/ui_stabilization_report.md` | existing browser QA scripts may be run after the server is started | duplicate one-off validation entry points | `powershell -ExecutionPolicy Bypass -File scripts/validat"
docs/Network + Service Logo Spec.md,80,"and generate .png versions via a small script (so resizing for 1×, 2×, 4× is automated)."
docs/Network + Service Logo Spec.md,93,"If you’d like, I can create a Word or Markdown “Visual Asset Style Guide” with this spec table plus sample placement mockups (how logos render under Calendar, Shows, Movies, Live TV)."
docs/PROJECT_STATUS_2026-03-16.md,6,- Canonical curated input: `data/inputs.json`
docs/PROJECT_STATUS_2026-03-16.md,8,- Canonical local asset root: `assets/`
docs/PROJECT_STATUS_2026-03-16.md,9,- Canonical editor: `web/inputs_editor.html`
docs/PROJECT_STATUS_2026-03-16.md,45,## Latest Canonical Implementation Point
docs/PROJECT_STATUS_2026-03-16.md,53,- canonical shared icon-strip behavior
docs/PROJECT_STATUS_2026-03-16.md,59,## Validation Snapshot
docs/PROJECT_STATUS_2026-03-16.md,67,- browser/runtime validation
docs/PROJECT_STATUS_2026-03-16.md,85,- Static local-server validation no longer emits the earlier `/favicon.ico` and `/api/health` shell noise after the runtime and shell hardening passes.
docs/PROJECT_STATUS_2026-03-16.md,87,- The main local worktree may contain additional uncommitted user files that are not part of the pushed canonical remote state.
docs/README.md,14,| `docs/testing/` | QA and validation contracts |
docs/README.md,31,| `docs/UI_GAP_ANALYSIS.md` | UI gaps and required fixes |
docs/README.md,46,- `docs/testing/availability_status_qa_and_validation.md`
docs/README.md,68,"- Canonical UI/runtime owners are `web/js/action_bar.js`, `web/js/watch_state_manager.js`, `web/js/data_loader.js`, `web/js/trailer_watch_popup_fix.js`, and `web/css/main_app.css`."
docs/README.md,71,"- Historical docs may mention old bookmark, single-heart, star, play, ruler, or percent-rating treatments; current docs must use `docs/UI_COMPONENTS.md` and `docs/DOCUMENTATION_STANDARD.md`."
docs/README.md,72,"- Removed drift artifacts include root overlay apply docs, `overlay/`, `overlay_patch/`, old apply scripts, overlay validation, and abandoned overlay reports."
docs/README.md,73,"- Canonical local launcher: root `run_local_servers.bat`. It starts/reuses the static app server on `8000` and the Inputs Editor API server on `8787`; `run_server.bat`, `tools/run_local_servers.bat`, and `tools/start_inputs_editor.cmd` delegate to it for compatibility."
docs/README.md,74,- Standard validation command: `powershell -ExecutionPolicy Bypass -File scripts/validate_runtime.ps1`.
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,5,The latest canonical remote state for active work is commit `104a0c4` on `github/main`.
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,20,- Re-locked canonical icon-strip ordering by content type.
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,26,- `data/inputs.json` is the canonical curated input.
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,28,- `assets/` is the canonical local asset root.
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,29,- `web/inputs_editor.html` is the canonical editor.
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,43,The local main worktree may contain unrelated uncommitted files and local-only docs that are not part of the pushed canonical remote state.
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,49,3. treat the pushed remote state as the implementation baseline unless a deliberate local recovery is required
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,76,CURRENT CANONICAL BASELINE
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,78,- Latest canonical commit: 104a0c4
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,82,- data/inputs.json is the canonical curated input
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,84,- assets/ is the canonical local asset root
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,85,- web/inputs_editor.html is the canonical editor
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,89,- calendar owns a full-width wall-calendar shell and must not use the browse sidebar
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,91,- watch_me keeps its page shell but must use shared cards/actions and top nav
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,98,- canonical icon order:
docs/TMDB-ID_Streaming_Embed_Providers#U2013URL_Patterns&Integration_Notes.html,347,<li>Regex contracts for validation and parsing.</li>
docs/TMDB-ID_Streaming_Embed_Providers#U2013URL_Patterns&Integration_Notes.html,361,"The table below lists each provider, its canonical name, and the URL format for TV shows and movies."
docs/TMDB-ID_Streaming_Embed_Providers#U2013URL_Patterns&Integration_Notes.html,465,<h3>3.1. Canonical pattern contract</h3>
docs/TMDB-ID_Streaming_Embed_Providers#U2013URL_Patterns&Integration_Notes.html,644,<h2>5. Regex patterns for validation and parsing</h2>
docs/TMDB-ID_Streaming_Embed_Providers#U2013URL_Patterns&Integration_Notes.html,649,<li><strong>Validation</strong> – confirm a URL matches a known provider format.</li>
docs/TMDB-ID_Streaming_Embed_Providers#U2013URL_Patterns&Integration_Notes.html,778,Define a deterministic fallback order so the app never “guesses” which provider to use:
docs/TMDB-ID_Streaming_Embed_Providers#U2013URL_Patterns&Integration_Notes.html,854,<h3>B.1. Versioned manifest</h3>
docs/TMDB-ID_Streaming_Embed_Providers#U2013URL_Patterns&Integration_Notes.html,856,"To avoid drift, you can version the manifest:"
docs/TMDB-ID_Streaming_Embed_Providers#U2013URL_Patterns&Integration_Notes.html,859,"""version"": 1,"
docs/UI_COMPONENTS.md,19,Canonical owner: `web/js/action_bar.js`.
docs/UI_COMPONENTS.md,43,"-   app version badges must read shared metadata, not hard-coded per-page strings"
docs/UI_COMPONENTS.md,47,-   browse/filter rails must provide a visible hide/show toggle
docs/UI_GAP_ANALYSIS.md,8,Required Fix
docs/UI_GAP_ANALYSIS.md,18,Required Fix
docs/VIEW_NAVIGATION_TREE.md,9,- Watchlist
docs/Web Icon Image Inventory (usable formats & variants).txt,46,| SVG Data URI | `data:image/svg+xml`    | Bundled/embedded assets      |
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,6,"Below is a strict, exhaustive BULLET LIST of EVERY requirement, rule, constraint, behavior, data field, UI element, UX rule, popup rule, rendering rule, workflow rule, script rule, versioning rule, metadata rule, file-integrity rule, and non-negotiable constraint that appears anywhere in this thread"
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,9,Mandatory confirmation phrase must be stated verbatim before any code generation:
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,11,Assistant must wait for explicit user instruction after confirmation before producing code.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,12,"Assistant must never proceed autonomously, even if the next step seems obvious."
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,15,Assistant must stop output immediately after one file and wait for “Next”.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,16,Assistant must never assume permission to continue.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,17,Assistant must never “chain” file outputs in one response.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,18,Assistant must never pre-emptively analyze future files while outputting a current file.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,19,Assistant must never output advisory commentary alongside files.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,20,Assistant must never output summaries or explanations unless explicitly asked.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,21,Assistant must never justify design decisions unless explicitly asked.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,22,Assistant must never argue constraints or attempt negotiation.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,24,Assistant must never output partial files even temporarily.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,25,Assistant must never output placeholder logic.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,26,Assistant must never output TODO markers.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,27,Assistant must never output stub functions.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,28,Assistant must never output commented-out functional blocks as replacements.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,29,Assistant must never delete or collapse whitespace that affects DPAD focus order.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,30,Assistant must never reorder functions unless explicitly instructed.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,31,Assistant must preserve original ordering of script sections.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,32,Assistant must preserve original ordering of HTML sections.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,33,Assistant must preserve original ordering of CSS blocks.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,34,VERSIONING & METADATA (ADDITIONAL DETAILS OMITTED)
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,35,"Header must exist before any code, not after imports or tags."
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,36,Header must be the first content in the file.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,37,Header must use consistent casing for all tags.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,38,Header must use square-bracket tag format exactly as specified.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,39,Header must include [FILE] absolute repo-relative path.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,40,Header must include [PROJECT] literal string: “my_TV_Movie (My TV Hub)”.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,41,"Header must include [ROLE] written in functional terms, not generic."
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,42,Header must include [VERSION] semantic version only.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,43,Header must include [UPDATED] timestamp including seconds.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,44,Header must include [BUILD] monotonically increasing tag.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,45,Header must include [NOTES] section even if empty.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,46,Header must never be duplicated elsewhere in the file.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,47,Header must never be altered without incrementing BUILD.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,48,Header must never be copied between files without modification.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,50,Manual archiving of prior file versions is now a required mitigation strategy.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,51,Assistant must assume archived files may be used for rollback.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,52,Assistant must never dismiss archived versions as obsolete.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,53,Assistant must treat archived versions as authoritative references if newer versions regress.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,56,All dynamic behavior must be pre-computed.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,59,Rendering pipeline must be deterministic.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,60,Rendering pipeline must be single-source-of-truth driven by data.json.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,61,UI must never infer missing data fields.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,62,UI must never compute fallback links.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,63,UI must never compute fallback image paths.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,64,UI must never compute fallback IDs.
docs/_archive/20260321_191334/chat_exports/actual text of the ChatGPT responsesQ1-Q5.txt,66,data.json must never be empty after a successful workflow.
